neg,neu,pos,comp,month,year
0.051,0.814,0.135,0.9915,1,2020
0.036,0.751,0.213,0.9997,3,2020
0.053,0.764,0.183,0.9955,4,2020
0.044,0.768,0.188,0.9967,6,2020
0.04,0.768,0.192,0.9969,7,2020
0.034,0.794,0.172,0.997,9,2020
0.036,0.788,0.176,0.996,11,2020
0.077,0.783,0.141,0.8807,1,2008
0.094,0.73,0.177,0.9459,3,2008
0.067,0.751,0.182,0.9653,4,2008
0.063,0.74,0.197,0.9648,6,2008
0.066,0.742,0.192,0.9549,8,2008
0.084,0.691,0.225,0.9607,9,2008
0.073,0.716,0.212,0.9795,10,2008
0.069,0.73,0.201,0.9845,12,2008
