neg,neu,pos,comp,month,year
0.051,0.814,0.135,0.9915,1,2020
0.036,0.751,0.213,0.9997,3,2020
0.053,0.764,0.183,0.9955,4,2020
0.044,0.768,0.188,0.9967,6,2020
0.04,0.768,0.192,0.9969,7,2020
0.034,0.794,0.172,0.997,9,2020
0.036,0.788,0.176,0.996,11,2020
0.077,0.783,0.141,0.8807,1,2008
0.094,0.73,0.177,0.9459,3,2008
0.067,0.751,0.182,0.9653,4,2008
0.063,0.74,0.197,0.9648,6,2008
0.066,0.742,0.192,0.9549,8,2008
0.084,0.691,0.225,0.9607,9,2008
0.073,0.716,0.212,0.9795,10,2008
0.069,0.73,0.201,0.9845,12,2008
0.055,0.707,0.238,0.9948,1,2009
0.082,0.708,0.21,0.984,3,2009
0.077,0.751,0.172,0.977,4,2009
0.068,0.764,0.168,0.9723,6,2009
0.071,0.746,0.183,0.981,8,2009
0.077,0.733,0.19,0.9836,9,2009
0.095,0.738,0.167,0.9678,11,2009
0.054,0.744,0.202,0.9936,12,2009
