neg,neu,pos,compound,date
0.129,0.794,0.077,-0.9954,2020-02-01T20:52:56+0000
0.112,0.799,0.089,-0.9954,2020-02-02T05:01:27+0000
0.124,0.798,0.079,-0.9935,2020-02-02T08:51:24+0000
0.122,0.785,0.092,-0.9793,2020-02-02T18:39:22+0000
0.088,0.792,0.121,0.9937,2020-02-02T19:35:20+0000
0.126,0.793,0.082,-0.9493,2020-02-02T21:59:39+0000
0.125,0.795,0.079,-0.9938,2020-02-02T22:55:22+0000
0.106,0.803,0.091,-0.9963,2020-02-03T05:08:39+0000
0.109,0.764,0.127,0.9331,2020-02-03T05:38:41+0000
0.073,0.821,0.105,0.9867,2020-02-03T10:00:23+0000
0.097,0.764,0.139,0.9892,2020-02-03T11:50:37+0000
0.109,0.836,0.055,-0.9871,2020-02-03T12:11:31+0000
0.043,0.807,0.151,0.997,2020-02-03T13:54:34+0000
0.145,0.775,0.081,-0.988,2020-02-03T14:43:24+0000
0.166,0.764,0.07,-0.9971,2020-02-03T20:24:38+0000
0.1,0.721,0.179,0.9884,2020-02-03T22:37:39+0000
0.127,0.796,0.077,-0.9892,2020-02-03T23:12:00+0000
0.124,0.779,0.097,-0.9976,2020-02-04T05:07:00+0000
0.076,0.821,0.103,0.9393,2020-02-04T10:16:27+0000
0.097,0.809,0.093,-0.5574,2020-02-04T12:06:55+0000
0.121,0.784,0.095,-0.9807,2020-02-04T13:58:17+0000
0.129,0.818,0.052,-0.9916,2020-02-04T16:30:46+0000
0.116,0.77,0.115,-0.5374,2020-02-04T18:26:33+0000
0.082,0.814,0.104,0.9484,2020-02-05T00:31:09+0000
0.097,0.772,0.131,0.9823,2020-02-05T11:22:26+0000
0.158,0.778,0.064,-0.9955,2020-02-05T20:06:39+0000
0.162,0.726,0.113,-0.9828,2020-02-05T20:35:24+0000
0.131,0.784,0.085,-0.9997,2020-02-06T05:07:40+0000
0.141,0.74,0.118,-0.9895,2020-02-06T05:34:57+0000
0.124,0.743,0.133,-0.6256,2020-02-06T09:52:53+0000
0.225,0.646,0.128,-0.9983,2020-02-06T10:00:08+0000
0.057,0.811,0.132,0.9903,2020-02-06T10:00:17+0000
0.118,0.748,0.134,0.8,2020-02-06T10:00:19+0000
0.059,0.827,0.115,0.9618,2020-02-06T10:47:45+0000
0.253,0.67,0.077,-0.9991,2020-02-06T16:53:43+0000
0.09,0.821,0.089,-0.2786,2020-02-06T21:42:39+0000
0.168,0.665,0.167,-0.5129,2020-02-07T00:28:32+0000
0.2,0.685,0.115,-0.9982,2020-02-07T09:46:58+0000
0.074,0.814,0.112,0.9846,2020-02-07T13:10:20+0000
0.161,0.757,0.082,-0.9979,2020-02-07T14:38:27+0000
0.081,0.839,0.08,0.4215,2020-02-07T16:08:17+0000
0.134,0.813,0.053,-0.9907,2020-02-07T19:44:16+0000
0.171,0.675,0.154,-0.7494,2020-02-07T20:26:46+0000
0.223,0.643,0.134,-0.9987,2020-02-07T22:35:05+0000
0.18,0.687,0.133,-0.9848,2020-02-08T00:10:16+0000
0.159,0.743,0.098,-0.9997,2020-02-08T16:08:52+0000
0.112,0.775,0.113,-0.9518,2020-02-09T05:04:25+0000
0.17,0.71,0.12,-0.9934,2020-02-09T15:17:06+0000
0.141,0.75,0.109,-0.9914,2020-02-09T22:58:19+0000
0.07,0.859,0.071,-0.8202,2020-02-09T23:00:09+0000
0.103,0.726,0.171,0.9974,2020-02-10T05:39:51+0000
0.071,0.831,0.098,0.9666,2020-02-10T11:30:40+0000
0.088,0.776,0.136,0.9855,2020-02-10T15:19:32+0000
0.068,0.861,0.071,-0.6832,2020-02-10T20:12:52+0000
0.138,0.727,0.135,-0.6788,2020-02-11T01:06:27+0000
0.091,0.808,0.101,0.3536,2020-02-11T09:49:30+0000
0.15,0.694,0.156,-0.0772,2020-02-11T10:00:25+0000
0.122,0.806,0.072,-0.9833,2020-02-11T13:23:58+0000
0.131,0.715,0.154,0.8934,2020-02-11T13:30:10+0000
0.092,0.717,0.191,0.9981,2020-02-11T20:15:59+0000
0.084,0.805,0.111,0.9477,2020-02-11T22:25:16+0000
0.097,0.846,0.057,-0.9897,2020-02-11T22:41:21+0000
0.091,0.818,0.09,-0.5508,2020-02-11T23:39:27+0000
0.074,0.82,0.106,0.9895,2020-02-11T23:53:33+0000
0.085,0.801,0.114,0.9933,2020-02-12T05:07:03+0000
0.181,0.708,0.111,-0.9897,2020-02-12T10:17:12+0000
0.026,0.883,0.091,0.9837,2020-02-12T15:44:17+0000
0.061,0.812,0.127,0.9959,2020-02-12T20:26:44+0000
0.091,0.788,0.12,0.9735,2020-02-13T05:22:36+0000
0.08,0.868,0.052,-0.8271,2020-02-13T10:53:49+0000
0.143,0.714,0.144,-0.9219,2020-02-13T15:18:19+0000
0.098,0.762,0.14,0.9714,2020-02-13T18:25:56+0000
0.169,0.772,0.059,-0.9989,2020-02-13T20:40:49+0000
0.132,0.766,0.103,-0.999,2020-02-13T22:18:49+0000
0.261,0.642,0.097,-0.9994,2020-02-13T22:27:44+0000
0.068,0.851,0.081,0.6916,2020-02-14T00:45:28+0000
0.13,0.791,0.079,-0.9993,2020-02-14T05:11:11+0000
0.093,0.733,0.174,0.9884,2020-02-14T06:36:50+0000
0.118,0.799,0.083,-0.9627,2020-02-14T07:43:33+0000
0.074,0.838,0.088,0.8524,2020-02-14T10:00:40+0000
0.141,0.733,0.126,-0.9451,2020-02-14T10:40:27+0000
0.085,0.82,0.095,0.3612,2020-02-15T00:53:16+0000
0.152,0.818,0.03,-0.9909,2020-02-15T18:28:53+0000
0.168,0.709,0.124,-0.9835,2020-02-15T19:30:04+0000
0.109,0.74,0.151,0.9838,2020-02-15T23:02:07+0000
0.055,0.822,0.124,0.989,2020-02-16T00:53:05+0000
0.124,0.774,0.102,-0.9764,2020-02-16T05:13:26+0000
0.062,0.803,0.135,0.9958,2020-02-16T10:51:38+0000
0.118,0.774,0.108,-0.8159,2020-02-16T18:09:32+0000
0.144,0.73,0.125,-0.9761,2020-02-16T21:58:03+0000
0.116,0.772,0.111,-0.7346,2020-02-17T00:10:21+0000
