Company Name;Exchange:Ticker;Currency;Market Cap (mm) [Latest]*†;Revenue (mm);% Price Change [Last Day];% Price Change [30 Day];% Price Change [YTD];% Price Change [12 Month];Price Close;P/E*†;P/BV*†;Primary Industry;cap_01012020;cap_11212020;% Change between Jan and Nov 2020
3M Company;NYSE:MMM;USD;99726,73;31712;0.75%;2.20%;(2.00%);3.05%;172,89;20.27x;8.33x;Industrial Conglomerates; 101.450 ; 99.727 ;-1,7%
A. O. Smith Corporation;NYSE:AOS;USD;9051,88;2811,7;(0.95%);2.28%;17.67%;16.57%;56,06;28.88x;5.23x;Building Products; 7.771 ; 9.052 ;16,5%
Abbott Laboratories;NYSE:ABT;USD;196537,18;32221;(0.10%);4.68%;27.67%;32.19%;110,89;58.99x;6.27x;Health Care Equipment; 153.608 ; 196.537 ;27,9%
AbbVie Inc.;NYSE:ABBV;USD;178030,39;40650;1.17%;21.66%;13.89%;15.64%;100,84;22.06x;11.52x;Biotechnology; 130.935 ; 178.030 ;36,0%
Abiomed, Inc.;NasdaqGS:ABMD;USD;12120,38;802,86;(0.89%);(1.61%);57.22%;44.78%;268,21;58.95x;10.34x;Health Care Equipment; 7.703 ; 12.120 ;57,3%
Accenture plc;NYSE:ACN;USD;154235,29;44327,04;0.10%;4.44%;15.61%;23.13%;243,44;30.84x;9.07x;IT Consulting and Other Services; 133.711 ; 154.235 ;15,3%
Activision Blizzard, Inc.;NasdaqGS:ATVI;USD;59363,16;7660;1.16%;(6.26%);29.27%;42.02%;76,81;26.96x;4.08x;Interactive Home Entertainment; 45.650 ; 59.363 ;30,0%
Adobe Inc.;NasdaqGS:ADBE;USD;222071,51;12436,3;(0.75%);(6.66%);40.36%;54.26%;462,92;58.30x;19.11x;Application Software; 159.080 ; 222.072 ;39,6%
Advance Auto Parts, Inc.;NYSE:AAP;USD;9727,05;9853,8;(1.20%);(6.51%);(9.88%);(10.76%);144,33;21.01x;2.64x;Automotive Retail; 11.027 ; 9.727 ;-11,8%
Advanced Micro Devices, Inc.;NasdaqGS:AMD;USD;101797,51;8646;(1.05%);6.87%;84.56%;106.54%;84,64;114.63x;26.59x;Semiconductors; 52.216 ; 101.798 ;95,0%
Aflac Incorporated;NYSE:AFL;USD;30802,22;21837;0.30%;19.65%;(17.11%);(18.99%);43,85;6.90x;0.95x;Life and Health Insurance; 38.830 ; 30.802 ;-20,7%
Agilent Technologies, Inc.;NYSE:A;USD;34188,46;5223;2.03%;5.78%;29.98%;41.23%;110,89;50.07x;6.73x;Life Sciences Tools and Services; 26.462 ; 34.188 ;29,2%
Air Products and Chemicals, Inc.;NYSE:APD;USD;59783,27;8856,3;0.04%;(7.77%);15.10%;13.69%;270,48;31.64x;4.95x;Industrial Gases; 51.812 ; 59.783 ;15,4%
Akamai Technologies, Inc.;NasdaqGS:AKAM;USD;16657,08;3123,99;0.81%;(6.15%);18.45%;17.80%;102,32;30.00x;4.02x;Internet Services and Infrastructure; 13.959 ; 16.657 ;19,3%
Alaska Air Group, Inc.;NYSE:ALK;USD;5901,24;4986;(1.59%);20.23%;(29.56%);(30.27%);47,72;NM;1.74x;Airlines; 8.345 ; 5.901 ;-29,3%
Albemarle Corporation;NYSE:ALB;USD;13614,81;3242,33;1.66%;33.40%;75.10%;96.60%;127,89;35.62x;3.25x;Specialty Chemicals; 7.745 ; 13.615 ;75,8%
Alexandria Real Estate Equities, Inc.;NYSE:ARE;USD;22149,65;1847,01;0.24%;2.54%;1.58%;2.57%;164,14;38.14x;2.04x;Office REITs; 18.606 ; 22.150 ;19,0%
Alexion Pharmaceuticals, Inc.;NasdaqGS:ALXN;USD;26563,46;5862,4;(0.55%);2.70%;12.23%;11.84%;121,38;28.17x;2.41x;Biotechnology; 23.933 ; 26.563 ;11,0%
Align Technology, Inc.;NasdaqGS:ALGN;USD;35202,76;2287,21;1.16%;32.95%;60.00%;66.11%;446,45;20.32x;11.47x;Health Care Supplies; 21.992 ; 35.203 ;60,1%
Allegion plc;NYSE:ALLE;USD;10400,41;2712,1;(0.99%);8.76%;(9.27%);(3.83%);113;34.89x;12.77x;Building Products; 11.572 ; 10.400 ;-10,1%
Alliant Energy Corporation;NasdaqGS:LNT;USD;13204,85;3478,7;0.76%;(4.98%);(3.38%);(0.51%);52,87;19.68x;2.30x;Electric Utilities; 13.152 ; 13.205 ;0,4%
Alphabet Inc.;NasdaqGS:GOOG.L;USD;1176449,58;171704;(1.26%);9.48%;29.64%;33.38%;1736,38;33.55x;5.60x;Interactive Media and Services; 922.946 ; 1.176.450 ;27,5%
Alphabet Inc.;NasdaqGS:GOOG;USD;1176449,58;171704;(1.23%);9.34%;30.30%;33.70%;1742,19;33.66x;5.60x;Interactive Media and Services; 922.946 ; 1.176.450 ;27,5%
Altria Group, Inc.;NYSE:MO;USD;74225,26;20588;(0.30%);3.71%;(19.98%);(17.56%);39,94;103.93x;23.72x;Tobacco; 93.238 ; 74.225 ;-20,4%
Amazon.com, Inc.;NasdaqGS:AMZN;USD;1555127,62;347945;(0.57%);(2.69%);67.73%;77.56%;3099,4;90.62x;18.90x;Internet and Direct Marketing Retail; 916.154 ; 1.555.128 ;69,7%
Amcor plc;NYSE:AMCR;USD;18461,31;12423,5;0.08%;7.67%;10.06%;21.36%;11,93;18.61x;3.93x;Paper Packaging; 17.559 ; 18.461 ;5,1%
Ameren Corporation;NYSE:AEE;USD;19393,39;5529;0.13%;(4.67%);2.15%;3.95%;78,45;22.92x;2.28x;Multi-Utilities; 18.895 ; 19.393 ;2,6%
American Airlines Group Inc.;NasdaqGS:AAL;USD;6855,56;24622;(2.03%);(1.69%);(56.31%);(55.61%);12,53;NM;NM;Airlines; 12.564 ; 6.856 ;-45,4%
American Electric Power Company, Inc.;NasdaqGS:AEP;USD;40947,17;14923,9;0.05%;(8.75%);(12.72%);(9.81%);82,49;21.36x;2.01x;Electric Utilities; 46.683 ; 40.947 ;-12,3%
American Express Company;NYSE:AXP;USD;90649,64;32236;(1.37%);10.99%;(9.57%);(5.63%);112,58;27.71x;4.20x;Consumer Finance; 101.867 ; 90.650 ;-11,0%
American International Group, Inc.;NYSE:AIG;USD;33263,51;45654;0.18%;21.91%;(24.78%);(27.05%);38,61;NM;0.52x;Multi-line Insurance; 44.655 ; 33.264 ;-25,5%
American Tower Corporation (REIT);NYSE:AMT;USD;103350,68;7842,7;(2.42%);(3.76%);1.24%;6.77%;232,66;55.01x;28.38x;Specialized REITs; 101.797 ; 103.351 ;1,5%
American Water Works Company, Inc.;NYSE:AWK;USD;28588,41;3756;0.68%;3.59%;28.38%;30.80%;157,71;43.21x;4.36x;Water Utilities; 22.208 ; 28.588 ;28,7%
Ameriprise Financial, Inc.;NYSE:AMP;USD;21212,41;11873;(2.09%);7.83%;7.94%;13.52%;179,8;12.62x;3.59x;Asset Management and Custody Banks; 21.105 ; 21.212 ;0,5%
AmerisourceBergen Corporation;NYSE:ABC;USD;20518,93;189893,93;(1.41%);2.79%;18.16%;14.75%;100,46;NM;-;Health Care Distributors; 17.508 ; 20.519 ;17,2%
